Company,City,AffectedWorkers,NoticeRcvd,NoticeType,LayoffBeginDate,NAICSDescription,County,WDA
Shopko,"Manitowoc,
Plover",99,4/8/2019,CL,04/14/2019,Department Stores,"Manitowoc, Portage","Bay Area, North Central"
Inmar,Milwaukee,265,4/11/2019,CL,06/15/2019,Pharmaceutical Preparation Mfg,Milwaukee,Milwaukee
Sodexo Services,Oshkosh,87,4/15/2019,CL,07/10/2019,Facilities Support Services,Winnebago,Fox Valley
Silver Star Brands,Oshkosh,62,4/22/2019,WR,06/24/2019,Electronic Shopping and Mail-Order Houses,Winnebago,Fox Valley
Durham School Services,Racine,211,4/23/2019,CL,07/31/2019,School & Employee Bus Trans,Racine,Southeast
Backyard Products,Janesville,23,4/23/2019,CL,08/01/2019,Misc Wood Product Mfg,Rock,Southwest
Saputo Cheese USA,Dresser,49,4/25/2019,CL,05/31/2019,Cheese Mfg,Polk,West Central
"LifeCare Management Services, LLC",Pewaukee,171,4/25/2019,CL,06/23/2019,Managing Offices,Waukesha,WOW
Post Acute Medical Specialty Hospital of Milwaukee,Milwaukee,172,3/7/2019,CL,05/30/2019,Other hospitals,Milwaukee,Milwaukee
Heidel House Resort & Spa,Green Lake,111,3/11/2019,CL,05/20/2019,Hotels & Motels exc. Casino Hotels,Green Lake,Fox Valley
Motor Castings Company,Milwaukee,113,3/20/2019,CL,05/20/2019,Iron Foundries,Milwaukee,Milwaukee
CasTech,West Allis,4,3/20/2019,CL,05/20/2019,Misc Fabricated Metal Product Mfg,Milwaukee,Milwaukee
Radial,Eau Claire,142,3/26/2019,cl,05/28/2019,Telemarketing & Other Contact Centers,Eau Claire,West Central
Dentsply Sirona,Racine,49,3/27/2019,CL,07/01/2019,Whls Trade Agents & Brokers,Racine,Southeast
"D.E.N. Services, Inc.",Clintonville,101,3/27/2019,CL,06/30/2019,Vocational Rehabilitation Services,Waupaca,Fox Valley
SHOPKO,"Abbotsford, Adams, Appleton, Arcadia, Ashwaubenon, Beaver Dam, Chippewa Falls, Clintonville, De Pere, Eagle River, Eau Claire, Fond du Lac, Fort Atkinson, Green Bay, Janesville, La Crosse, Lancaster, Marshfield, Mequon, Monroe, Neillsville, Oconto, Onalaska, Oshkosh, Park Falls, Reedsburg, Rice Lake, River Falls, Rothschild, Sister Bay, Spooner, Stanley, Suamico, Tomahawk, Waukesha, Wausau, Wautoma, Wisconsin Rapids",1715,3/28/2019,CL,06/16/2019,Department Stores,"Adams, Barron, Brown, Chippewa, Clark, Dodge, Door, Eau Claire, Fond du Lac, Grant, Green, Jefferson, La Crosse, Lincoln, Marathon, Oconto, Outagamie, Ozaukee, Price, Rock, Sauk, St. Croix, Trempealeau, Vilas, Washburn, Waukesha, Waupaca, Wausau, Waushara, Winnebago, Wood","Bay Area, Fox Valley, North Central, Northwest, South Central, Southwest, West Central, Western, WOW"
Zalk Josephs Fabricators LLC,Stoughton,Unknown,3/28/2019,WR,05/27/2019,Fabricated Structural Metal Mfg,Dane,South Central
"Spectrum Transportation Services, LLC",De Pere,9,3/28/2019,CL,05/20/2019,General Freight Trucking Long Distance,Brown,Bay Area
Spectrum America Supply Chain Solutions Inc.,De Pere,216,3/28/2019,CL,05/20/2019,General Warehousing & Storage,Brown,Bay Area
US Bank,Brookfield,40,2/5/2019,WR,04/05/2019,Commercial Banking,Waukesha,WOW
Covia Corp.,Tomah,29,2/11/2019,WR,02/07/2019,Ind Sand Mining,Monroe,Western
Armor Correctional Health Service Inc.,Milwaukee,100,2/11/2019,CL,03/31/2019,Facilities Support Services,Milwaukee,Milwaukee
ShopKo,"De Pere, Watertown, Beloit, Racine, Kimberly, Kenosha, Monona, Marinette, Sheboygan, Delavan, Rhinelander",578,2/13/2019,CL,05/06/2019,Department Stores,"Brown, Dodge, Jefferson, Rock, Racine, Outagamie, Kenosha, Dane, Marinette, Sheboygan, Walworth, Oneida","Bay Area, South Central, Southwest, Southeast, North Central"
Wellspring of Milwaukee,Milwaukee,160,2/13/2019,CL,04/12/2019,Nursing Care Facilities (Skilled Nursing),Milwaukee,Milwaukee
Shopko Store Support Center,Green Bay,140,2/18/2019,WR,04/08/2019,Managing Offices,Brown,Bay Area
ABQC Corporation,Milwaukee,35,2/18/2019,CL,03/31/2019,Electroplating Anodizing & Coloring Metal,Milwaukee,Milwaukee
"Figi's Companies, Inc.","Marshfield, Stevens Point, Neillsville",279,1/07/2019,CL,01/04/2019,Electronic Shopping and Mail-Order Houses,"Wood, Portage, Clark","North Central, West Central"
Petco - Drs. Foster & Smith,Rhinelander,289,1/10/2019,CL,03/10/2019,Electronic Shopping and Mail-Order Houses,Oneida,North Central
Kimberly-Clark Corp.,Neenah,74,1/10/2019,CL,03/15/2019,Nonwoven Fabric Mills,Winnebago,Fox Valley
Kimberly-Clark Corp. - Revision 1,Neenah,65,3/22/2019,"LS, AW",03/15/2019,Nonwoven Fabric Mills,Winnebago,Fox Valley
Compass Minerals America Inc.,Kenosha,38,1/14/2019,CL,02/01/2019,Other Chemicals Merch Whls,Kenosha,Southeast
"Becton, Dickinson and Company",Franklin,2,1/18/2019,CL,03/22/2019,Pharmaceutical Preparation Mfg,Milwaukee,Milwaukee
Shopko Stores,Madison,63,1/18/2019,CL,04/12/2019,Department Stores,Madison,South Central
Unison (formerly known as: Interfaith Older Adult Programs Inc.),"Milwaukee, Cudahy, Brown Deer",53,1/18/2019,CL,12/21/2018,Services for the Elderly & Disabled,Milwaukee,Milwaukee
Lacrosse Hardwood Flooring,Westby,65,1/22/2019,CL,03/18/2019,Misc Wood Product Mfg,Vernon,Western
Pepin Health and Rehab,Pepin,54,1/22/2019,CL,03/23/2019,Continuing Care Retirement Communities,Pepin,West Central
Alkar-Rapid Pak Inc,Lodi,30,1/28/2019,WR,01/22/2019,Food Product Machinery Mfg,Columbia,South Central
