DateReceived,Company,City/County,Potential NumberAffected,LayoffDate(s),PhoneNumber,Union,Notice ID
05/26/2020,Boyd Gaming - Belterra Park Gaming & Entertainment Center,Cincinnati/Hamilton,361,07/01/2020-07/14/2020,(702) 692-4153,"Local B754 of the International Alliance of Theatrical Stage Employees, Moving Picture Technicians, Artists and Allied Crafts of the United States, its Territories and Canada, AFL-CIO, CLC (“IATSE”)",119-20-145*
05/22/2020,21C Museum Hotel,Cincinnati/Hamilton,158,05/20/2020-07/01/2020,(502) 882-6228,None,013-20-075
05/21/2020,"Schneller, Inc.",Kent/Portage,50,05/18/2020,(330) 676-7141,None,119-20-144*
05/21/2020,"Poma Glass and Specialty Windows, Inc.",Boardman/Mahoning,57,07/25/2020,(404) 446-4256,None,017-20-074
05/18/2020,Verso Corporation,Miamisburg/Montgomery,59,Unknown,(937) 528-3457,None,007-20-073
05/20/2020,"PCC Airfoils, LLC",Crooksville/Perry,122,05/22/2020,(740) 469-1134,None,014-20-072
05/18/2020,The Michaels Companies,Strongsville/Cuyahoga,146,07/18/2020,(972) 409-7628,None,003-20-071
05/14/2020,"LAZ Parking Midwest, LLC",Cleveland/Cuyahoga,62,03/12/2020-04/16/2020,(312) 771-1939,None,119-20-143*
05/14/2020,"LAZ Parking Midwest, LLC",Columbus/Franklin,154,03/15/2020-04/11/2020,(312) 771-1939,None,119-20-142*
05/14/2020,Nine Energy Service,Marietta/Washington,60,03/12/2020-04/09/2020,(346) 266-4604,None,015-20-070
05/13/2020,International Exposition Center (I-X Center),Cleveland/Cuyahoga,176,03/20/2020-04/03/2020,(216) 265-2630,"International Brotherhood of Teamsters, Local 507",119-20-141*
05/12/2020,Enterprise Holdings,Columbus/Franklin,35,04/30/2020,(513) 538-6245,None,011-20-069
05/12/2020,Enterprise Holdings,Blue Ash/Hamilton,14,04/30/2020,(513) 538-6245,None,013-20-068
05/12/2020,Enterprise Holdings,Columbus/Franklin,3,04/30/2020,(513) 538-6245,None,011-20-067
05/12/2020,Enterprise Holdings,Columbus/Franklin,66,03/23/2020,(513) 538-6245,None,119-20-140*
05/12/2020,Enterprise Holdings,Blue Ash/Hamilton,163,03/23/2020,(513) 538-6245,None,119-20-139*
05/12/2020,Enterprise Holdings,Columbus/Franklin,80,03/23/2020,(513) 538-6245,None,119-20-138*
05/11/2020,"Collegiate Hotel Group, LLC",Columbus/FranklinCincinnati/Hamilton,135,03/16/2020,(502) 489-3737,None,119-20-137*
05/11/2020,HMS Host Corporation,Mantua/Portage,84,06/01/2020,(813) 326-5052,None,019-20-066
05/11/2020,ASWPengg LLC,Bedford Heights/Cuyahoga,122,06/30/2020,(216) 292-4620,None,003-20-065
05/11/2020,Cox Automotive,Hamilton/Butler,80,05/17/2020,(678) 645-2220,None,119-20-136*
05/11/2020,Cox Automotive,Grove City/Franklin,117,05/17/2020,(678) 645-220,None,119-20-135*
05/11/2020,VSP Global,Columbus/Franklin,128,05/01/2020,(916) 281-6373,None,011-20-064
