Closing or Layoff,Initial Report Date,Planned Starting Date,Company,City,Planned # Affected Employees
Layoff *,11/04/2013,11/30/2013,KBR,Selma,73
Layoff *,10/22/2013,12/06/2013,ALABAMA PAIN CENTER,Huntsville,80
Closing *,10/01/2013,12/18/2013,JC'S 5 STAR OUTLET,Decatur,41
Closing *,09/17/2013,11/11/2013,"TWIN PINES, LLC",Jasper,60
Closing *,09/11/2013,12/04/2013,INTERNATIONAL PAPER-COURTLAND MILL,Courtland,1100
Closing *,08/20/2013,10/06/2013,BELLE FOODS-STORE 84 (TUSCALOOSA),Tuscaloosa,50
Closing *,06/14/2013,10/01/2013,COOPER LIGHTING,Eufaula,285
Closing *,07/31/2013,09/29/2013,PREFERRED HEALTH HOLDINGS (@RIDGEWOOD HEALTH CARE),Jasper,141
Closing *,07/22/2013,10/04/2013,BENTELER AUTOMOTIVE,Opelika,115
Layoff *,07/09/2013,09/09/2013,"DRUMMOND CO., INC. SHOAL CREEK MINE",Oakman,425
Closing *,06/19/2013,07/22/2013,SODEXO (CAMPUS OF OAKWOOD UNIVERSITY),Huntsville,75
Closing *,06/17/2013,07/11/2013,BECHTEL POWER CORPORATION,Hollywood,83
Closing *,06/04/2013,07/29/2013,"RUSSELL BRANDS, INC., COOSA RIVER DISTRIBUTION",Wetumpka,191
Closing *,05/17/2013,07/12/2013,"TUSCALOOSA RESOURCES INC., SWANN'S CROSSING MINE",Brookwood,67
Closing *,05/09/2013,07/08/2013,STANDARD FURNITURE,Frisco City,157
Closing *,05/01/2013,04/30/2013,AMERICAN APPAREL-ONEONTA,Oneonta,200
Layoff *,04/29/2013,05/15/2013,SODEXO (CAMPUS OF UNIV. OF MONTEVALLO),Montevallo,51
Layoff *,04/05/2013,06/21/2013,SITEL,Andalusia,144
Closing *,04/02/2013,03/15/2013,AMERICAN APPAREL-OPP,Opp,200
Closing *,03/15/2013,03/15/2013,NORTH RIVER MINE (JIM WALTER RESOURCES),Brookwood,176
Closing *,03/11/2013,05/07/2013,"SHILOH INDUSTRIES, ANNISTON MFG. PLANT",Anniston,68
Layoff *,03/01/2013,05/03/2013,VANTAGE SOURCING INC.,Taylor,215
Closing *,02/26/2013,02/19/2013,"KC ECONOMIC DEVELOPMENT, LLC",Shorter,207
Closing *,01/30/2013,04/02/2013,EATON CORP,Decatur,63
Closing *,01/15/2013,03/10/2015,KMART CORPORATION,Anniston,52
Closing *,01/07/2013,03/05/2013,"RUSSELL BRANDS, LLC-DECORATION OPERATIONS",Alexander City,390
Closing *,01/03/2013,03/02/2013,"GREDE CASTINGS, LLC., INC.",Marion,105
Closing *,08/20/2013,10/06/2013,BELLE FOODS-STORE 310 (MOBILE),Mobile,59
Layoff *,04/16/2013,06/11/2013,MILLARD REFRIGERATED SERVICES,Theodore,100
Layoff *,04/08/2013,05/31/2013,WEST ASSET MANAGEMENT,Mobile,140
Closing *,11/05/2013,12/20/2013,STEELSCAPE,Fairfield,62
Layoff *,09/17/2013,11/11/2013,"ROCK MOUNTAIN MINING, LLC",Birmingham,53
Layoff *,08/23/2013,10/20/2013,WELLS FARGO,Homewood,841
Closing *,08/20/2013,10/06/2013,BELLE FOODS-STORE 51 (HOOVER),Hoover,60
Closing *,07/01/2013,08/28/2013,BIRMINGHAM LOGISTICS (BELLE FOODS),Birmingham,203
Layoff *,06/28/2013,07/07/2013,BIRMINGHAM LOGISTICS (ROUSE'S ENTERPRISES),Birmingham,182
Closing *,03/21/2013,05/19/2013,"FAIRFIELD NURSING AND REHABILITATION CENTER, LLC",Fairfield,201
Layoff *,03/15/2013,05/15/2013,AT&T ALABAMA,Birmingham,67
Layoff *,01/07/2013,03/06/2013,ATHENAHEALTH,Birmingham,36
Layoff *,11/08/2012,01/06/2013,GENERAL DYNAMICS-LAND SYSTEMS,Anniston,252
Closing *,11/05/2012,11/06/2012,HEARTLAND CATFISH,Greensboro,150
Layoff *,11/01/2012,12/31/2012,"DRS TEST & ENERGY MANAGEMENT, LLC",Huntsville,84
Closing *,11/01/2012,12/31/2012,CMI DOOR DIVISION/JELD-WEN,Ozark,70
Layoff *,09/25/2012,10/08/2012,AMERICAN APPAREL INC.,Selma,250
Closing *,08/31/2012,10/27/2012,AMERICAN POWER SOURCE,Fayette,119
Closing *,07/10/2012,09/07/2012,"BIG SPRINGS, INC.",Huntsville,87
Layoff *,06/20/2012,08/17/2012,THE HUNTSVILLE TIMES,Huntsville,103
Layoff *,06/11/2012,07/31/2012,SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),Anniston,134
Closing *,05/30/2012,06/04/2012,"RG STEEL, LLC",Fort Payne,15
Layoff *,05/25/2012,06/30/2012,G4S GOVERNMENT SOLUTIONS INC.,Anniston,57
Closing *,04/24/2012,06/25/2012,AAR MOBILITY SYSTEMS (FORMERLY SUMMA TECHNOLOGY),Cullman,181
Closing *,04/23/2012,06/29/2012,JOHNSON CONTROLS,Cottondale,103
Closing *,04/16/2012,04/18/2012,CONNEXION TECHNOLOGIES,Gulf Shores,38
Closing *,03/21/2012,05/21/2012,"EARTHGRAINS BAKING CO., DOTHAN",Dothan,124
Layoff *,02/22/2012,04/20/2012,MBM FOODSERVICE,Montgomery,78
Closing *,01/20/2012,03/01/2012,LEGGETT & PLATT INC. (AKA GARCY CORP.),Piedmont,117
Closing *,12/14/2012,03/01/2013,SODEXO,Tuskegee,124
Layoff *,01/10/2012,02/01/2012,ANNISTON ARMY DEPOT,Anniston,975
Layoff *,01/09/2012,03/09/2012,AMERICAN APPAREL,Fort Deposit,181
Closing *,01/10/2012,02/01/2012,HARTSELLE MEDICAL CENTER,Hartselle,184
Closing *,01/06/2012,01/13/2012,SYNCREON,Vance,312
Layoff *,06/20/2012,08/17/2012,MOBILE PRESS REGISTER,Mobile,181
Closing *,05/07/2012,07/06/2012,"HOSTESS BRANDS, INC.",Chickasaw,18
Layoff *,03/23/2012,05/21/2012,"EARTHGRAINS BAKERY CO., MOBILE",Mobile,115
Closing *,05/07/2012,07/06/2012,"HOSTESS BRANDS, INC.",Statewide,172
Layoff *,11/26/2012,01/21/2013,"ROCK MOUNTAIN MINING , LLC",Bessemer,187
Layoff *,11/07/2012,11/07/2012,"INSIGHT CARD SERVICES, LLC",Birmingham,71
Layoff *,06/20/2012,09/30/2012,THE BIRMINGHAM NEWS,Birmingham,109
Closing *,05/07/2012,07/06/2012,"HOSTESS BRANDS, INC.",Birmingham,63
Closing *,01/25/2012,04/03/2012,"GOLDEN LIVING, OR SOUTHERN BILLING OFFICE",Birmingham,38
Layoff *,12/05/2011,01/31/2012,THE BOEING COMPANY,Huntsville,164
Layoff *,11/16/2011,01/16/2012,WAYNE FARMS LLC,Decatur,363
Layoff *,10/31/2011,12/30/2011,"BAE SYSTEMS, USCS-ANNISTON/2",Anniston,155
Closing *,10/17/2011,12/14/2011,RADICISPANDEX CORPORATION,Tuscaloosa,89
Layoff *,08/11/2011,10/01/2011,"ERC, INC.",Huntsville,210
Layoff *,08/11/2011,10/01/2011,INFOPRO CORPORATION,Huntsville,210
Layoff *,08/01/2011,10/01/2011,JACOBS ESTS GROUP,Huntsville,281
Closing *,07/20/2011,11/18/2011,"THERMO FISHER SCIENTIFIC, INC.",Huntsville,67
Layoff *,07/20/2011,09/15/2011,NORTHRUP GRUMMAN-MAXWELL/GUNTER ANNEX,Montgomery,51
Closing *,06/27/2011,07/31/2011,AC FABRICATED PRODUCTS-GROVE HILL,Grove Hill,70
Closing *,06/13/2011,06/14/2011,KNAUF INSULATION,Lanett,146
Layoff *,05/16/2011,07/13/2011,"RECTICEL INTERIORS N.A., LLC",Tuscaloosa,40
Layoff *,05/13/2011,07/01/2011,"JOHNSON CONTROLS, INC.",Cottondale,42
Closing *,05/12/2011,07/01/2011,K AND K FOOD SERVICES,Huntsville,63
Layoff *,05/11/2011,07/22/2011,UNITED SPACE ALLIANCE (USA),Huntsville,45
Closing *,05/09/2011,05/09/2011,TEAM ONE CONTRACT SERVICES,Prattville,71
Closing *,05/03/2011,03/27/2012,PEMCO WORLD AIR SERVICES,Dothan,319
Closing *,05/03/2011,04/27/2011,SANDERSON PLUMBING PRODUCTS,Butler,50
Layoff *,04/27/2011,07/04/2011,INTEVA PRODUCTS,Gadsden,72
Closing *,04/07/2011,08/05/2011,NORTHROP GRUMMAN SYSTEMS CORPORATION,Huntsville,100
Closing *,03/16/2011,07/01/2011,URS (WESTINGHOUSE),Anniston,840
Closing *,03/16/2011,06/02/2011,"DILLARD'S, INC.",Decatur,71
Layoff *,02/15/2011,03/04/2011,"HEARTLAND ALABAMA, LLC",Greensboro,200
Closing *,02/07/2011,10/02/2011,BEAULIEU GROUP LLC,Eufaula,392
Layoff *,02/14/2011,04/14/2011,ABITIBI BOWATER,Coosa Pine,150
Layoff *,01/31/2011,03/31/2011,NORTHROP GRUMMAN,Redstone Arsenal,97
Closing *,02/01/2011,02/20/2011,GILDAN,Fort Payne,279
Closing *,01/27/2011,04/01/2011,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,317
Closing *,02/01/2011,09/05/2011,WESTPOINT HOME INC.,Greenville,183
Closing *,01/31/2011,04/01/2011,"CHUGACH WORLD SERVICES, INC.",Redstone Arsenal,45
Closing *,01/28/2011,02/04/2011,GENESEE TRISTARR INC.,Rogersville,69
Closing *,01/26/2011,04/04/2011,"ABB, INC.",Muscle Shoals,159
Layoff *,05/27/2011,08/31/2011,FLEXTRONICS AMERICAS LLC,Statewide,26
Closing *,12/06/2011,01/31/2012,BIRMINGHAM SOUTHERN RAILROAD COMPANY,Fairfield,181
Closing *,02/17/2011,04/15/2011,"ALABAMA AIRCRAFT INDUSTRIES, INC.",Birmingham,321
Closing *,06/09/2011,07/30/2011,ROCKTENN (FORMERLY SMURFIT STONE),Birmingham,77
Closing *,01/28/2010,04/12/2010,"NEW ERA CAP, DEMOPOLIS",Demopolis,351
Layoff *,01/20/2010,11/13/2009,BB&T CORP.,Montgomery,223
Closing *,12/10/2010,02/01/2011,SCIENCE APPLICATIONS INTERNATIONAL CORP. (SAIC),Huntsville,202
Closing *,12/29/2010,01/21/2011,LOPAREX,Cullman,70
Closing *,11/22/2010,01/18/2011,MICOLAS MILLS (JOHNSTON TEXTILES-2),Opp,135
Layoff *,11/01/2010,12/31/2010,"CATERPILLAR LOGISTICS, INC.",Vance,34
Layoff *,11/08/2010,01/06/2011,"MID-SOUTH ELECTRONICS, INC.",Gadsden,50
Closing *,10/27/2010,03/04/2010,APEX TOOL GROUP AKA NICHOLSON FILE,Cullman,66
Closing *,10/25/2010,12/20/2010,JELD-WEN INTERIOR DOORS,Hartselle,51
Layoff *,10/04/2010,10/29/2010,JOHNSON BROTHERS WINE COMPANY,Pelham,50
Closing *,10/04/2010,10/29/2010,JOHNSON BROTHERS WINE OF ALABAMA,Huntsville,25
Closing *,09/24/2010,11/28/2010,ARAMARK HEALTHCARE,Florence,201
