Company,Location,Layoff Start Date,# of Workers,Closure Layoff,Type of Layoff,Received Date
Suit Supply (USA),Bellevue,3/29/2020,18,Layoff,Temporary,4/8/2020
"Avis Budget Car Rental, LLC","Seattle, Tukwila",3/10/2020,173,Layoff,Temporary,4/8/2020
"Renaissance Marine Group, Inc",Clarkston,4/13/2020,97,Layoff,Temporary,4/8/2020
"Foushee and Associates Company, Inc",Bellevue,4/8/2020,83,Layoff,Temporary,4/8/2020
Seattle Goodwill Industries,Western Washington,4/3/2020,2192,Layoff,Temporary,4/8/2020
Spokane Industries,Spokane Valley,4/8/2020,113,Layoff,Temporary,4/7/2020
YMCA of Greater Seattle,Seattle,3/28/2020,2222,Layoff,Temporary,4/7/2020
"Cinemark USA, Inc","Federal Way, Olympia, Tacoma, Walla Walla, and Bellevue",3/26/2020,303,Closure,Permanent,4/7/2020
"Northwest Aerospace Technologies, Inc",Everett,4/6/2020,92,Layoff,Temporary,4/6/2020
"Universal Aerospace Co, Inc",Arlington,3/27/2020,150,Layoff,Temporary,4/3/2020
"Pac-12 Enterprises, dba Pac-12 Networks","Seattle, Pullman",3/14/2020,531,Layoff,Temporary,4/3/2020
"Riverence Brood, LLC",Rochester,4/3/2020,5,Layoff,Temporary,4/3/2020
Wendle Motors Incorporated,Spokane,3/20/2020,59,Layoff,Temporary,4/2/2020
Rover.com,Seattle,4/1/2020,163,Layoff,Permanent,4/2/2020
"Western Tile & Marble Contractors, Inc",Redmond,3/26/2020,157,Layoff,Temporary,4/2/2020
King & Prince Seafood,Bellingham,4/6/2020,31,Layoff,Temporary,4/1/2020
Open Square LLC,Seattle,4/1/2020,70,Layoff,Temporary,4/1/2020
Rebound Orthopedics & Neurosurgery,Vancouver,2/25/2020,163,Layoff,Temporary,4/1/2020
Bethlehem Construction,Cashmere,3/25/2020,67,Layoff,Temporary,3/31/2020
"Northwest Aerospace Technologies, Inc",Everett,3/30/2020,73,Layoff,Permanent,3/31/2020
"Eye Associates Northwest, PC","Seattle, Kirkland",3/21/2020,106,Layoff,Temporary,3/31/2020
YMCA of Snohomish County,Everett,3/30/2020,38,Layoff,Temporary,3/31/2020
"ALSCO, Inc",Kent,3/23/2020,84,Layoff,Temporary,3/30/2020
"Collegiate Hotel Group, LLC",Seattle,3/16/2020,45,Layoff,Temporary,3/30/2020
RL Hotel Olympia,Olympia,3/12/2020,35,Layoff,Temporary,3/30/2020
"Big Al's, Inc",Vancouver,3/18/2020,117,Layoff,Temporary,3/30/2020
Paper Source,"Seattle, Bellevue",3/29/2020,52,Layoff,Temporary,3/30/2020
"Kirkland Automotive Holdings I, LLC",Kirkland,3/25/2020,46,Layoff,Temporary,3/30/2020
"Kirkland Automotive Holdings II, LLC",Kirkland,3/25/2020,75,Layoff,Temporary,3/30/2020
"Gee Automotive Liberty Lake, LLC",Liberty Lake,3/25/2020,97,Layoff,Temporary,3/30/2020
"Ahern Rentals, Inc","Arlington, Fife",3/30/2020,2,Layoff,Permanent,3/30/2020
"365 Hospitality Associates, LLC",Seattle,3/16/2020,84,Layoff,Temporary,3/27/2020
"National Products, Inc",Seattle,3/27/2020,169,Layoff,Permanent,3/27/2020
King & Prince Seafood,Redmond,3/30/2020,116,Layoff,Temporary,3/27/2020
Electronic Recyclers International Inc,Sumner,3/23/2020,15,Layoff,Temporary,3/27/2020
"Earl's Restaurants USA, Inc",Bellevue,3/25/2020,114,Layoff,Permanent,3/26/2020
YMCA of the Inland Northwest,Spokane,3/29/2020,509,Layoff,Temporary,3/26/2020
"Contemporary Home Services, Inc",Auburn,3/26/2020,124,Layoff,Permanent,3/26/2020
SHG Hotel SPE LLC,Seattle,3/18/2020,310,Layoff,Temporary,3/26/2020
Ascend Hospitality Group,"Everett, Tukwila, Tacoma, Bellevue, Seattle",3/12/2020,401,Layoff,Temporary,3/26/2020
Quarry Tile Company,Spokane,3/25/2020,116,Layoff,Temporary,3/25/2020
Pineapple Hospitality Company,Seattle,3/15/2020,156,Layoff,Temporary,3/25/2020
HMSHost,Spokane,3/18/2020,71,Layoff,Temporary,3/24/2020
HMSHost,SeaTac,3/18/2020,354,Layoff,Temporary,3/24/2020
Four Points by Sheraton,Des Moines,3/23/2020,60,Layoff,Temporary,3/24/2020
"onni Properties, LLC",Seattle,3/31/2020,7,Layoff,Permanent,3/24/2020
Leafly Holdings Inc,Seattle,3/23/2020,71,Layoff,Permanent,3/23/2020
"Westport, LLC","Westport, Port Angeles, Seattle",3/23/2020,335,Layoff,Permanent,3/23/2020
Edgewater Hotel,Seattle,3/22/2020,227,Layoff,Temporary,3/23/2020
"Feast Restaurants, LLC","Wenatchee, Spokane, Sunnyside",3/17/2020,147,Layoff,Temporary,3/20/2020
Service Linen,Renton,3/20/2020,106,Layoff,Temporary,3/20/2020
Harbor Foodservice of Seattle LLC,Kent,3/22/2020,200,Layoff,Temporary,3/20/2020
Crowne Plaza,Seattle,3/19/2020,70,Layoff,Temporary,3/19/2020
Schwartz Brothers Restaurants,"Seattle, Bellevue",3/11/2020,297,Layoff,Temporary,3/18/2020
"Elmer's Restaurants, Inc","Vancouver, Tacoma, Poulsbo",3/17/2020,83,Layoff,Temporary,3/18/2020
Amentum,Whidbey Island,5/12/2020,13,Layoff,Permanent,3/13/2020
Oakwood Worldwide (US) LP,Tukwila,5/4/2020,8,Layoff,Permanent,3/5/2020
"Compass Airlines, LLC","Seattle, WA",5/1/2020,197,Closure,Permanent,3/4/2020
"Expedia, Inc.","Seattle, Bellevue",5/1/2020,442,Layoff,Permanent,2/27/2020
Saalex Solutions Inc,Keyport,4/30/2020,59,Layoff,Permanent,2/25/2020
Dash Delivery LLC,King and Snohomish Counties,4/23/2020,106,Closure,Permanent,2/24/2020
"Transportation Brokerage Specialists, Inc","King, Pierce, and Snohomish Counties",4/16/2020,230,Layoff,Permanent,2/18/2020
Delivery Force,King and Snohomish Counties,4/16/2020,272,Layoff,Permanent,2/14/2020
Senior Aerospace AMT,Arlington,4/7/2020,72,Layoff,Permanent,2/4/2020
Dynacraft,Algona,5/1/2020,140,Closure,Permanent,2/4/2020
Oakwood Worldwide (US) LP,Tukwila,3/30/2020,8,Layoff,Permanent,1/29/2020
Comcast,Puyallup,4/3/2020,52,Closure,Permanent,1/21/2020
AECOM,Pacific Beach and Whidbey Island,3/14/2020,11,Layoff,Permanent,1/17/2020
Astria Regional Medical Center,Yakima,1/13/2020,463,Closure,Permanent,1/8/2020
"Zume, Inc",Seattle,3/13/2020,78,Closure,Permanent,1/8/2020
Macy's,Burlington,3/17/2020,114,Closure,Permanent,1/6/2020
Seattle Times - North Creek,Bothell,3/2/2020,42,Closure,Permanent,12/31/2019
"Northwestern Industries, Inc",Seattle,2/28/2020,133,Closure,Permanent,12/30/2019
"VICIS, Inc",Seattle,12/20/2019,84,Layoff,Permanent,12/30/2019
Macy's,Seattle,2/16/2020,236,Closure,Permanent,12/17/2019
"Vanguard Int'l Group, dba Pride Packing Co LLC",Wapato,1/31/2020,201,Closure,Permanent,12/17/2019
CEVA Logistics,Auburn,2/28/2020,13,Layoff,Permanent,11/22/2019
Honeywell Aerospace,Renton,1/24/2020,82,Closure,Permanent,11/18/2019
Ida Culver House Broadview,Seattle,1/5/2020,148,Layoff,Permanent,11/7/2019
"Merchant e-Solutions, Inc",Spokane Valley,1/8/2020,71,Closure,Permanent,11/6/2019
CXT / LB Foster Company,Spokane,12/31/2019,77,Closure,Permanent,11/4/2019
Clarisonic (aka Pacific Bioscience Laboratories and Pacific Bioscience Laboratories Products Inc),Redmond,12/31/2019,92,Closure,Permanent,10/29/2019
"MV Transportation, Inc",Spokane Valley,12/31/2019,59,Closure,Permanent,10/29/2019
Oakwood Worldwide (US) LP,Tukwila,12/30/2019,7,Layoff,Permanent,10/29/2019
Backflip Studios,Renton,12/23/2019,1,Closure,Permanent,10/23/2019
Applus Technologies Inc,Statewide,12/31/2019,118,Layoff,Permanent,10/23/2019
School Specialty Inc / Premier Agendas LLC,Bellingham,12/31/2019,40,Closure,Permanent,10/15/2019
Zirkle Fruit Company,Prosser,12/6/2019,164,Layoff,Permanent,10/11/2019
Katerra,Seattle,10/9/2019,58,Layoff,Permanent,10/10/2019
FleetPride,Tacoma,12/6/2019,7,Closure,Permanent,10/7/2019
Wyndham Vacation Clubs,Redmond,12/6/2019,103,Closure,Permanent,10/3/2019
CHI Franciscan Health,Burien,12/31/2019,86,Closure,Permanent,9/30/2019
Trident Seafoods Corporation,Seattle,11/15/2019,63,Closure,Permanent,9/16/2019
Food Services of America,Kent,10/14/2019,200,Closure,Permanent,9/13/2019
Northwest Hardwoods,Mount Vernon,11/11/2019,66,Layoff,Permanent,9/12/2019
Univar Solutions,Redmond,11/15/2019,65,Layoff,Permanent,9/11/2019
Premier XD,Everett,9/11/2019,99,Closure,Permanent,9/11/2019
Premier XD,Everett,9/11/2019,7,Closure,Permanent,9/11/2019
"Transdev Services, Inc",Kent,10/31/2019,340,Layoff,Permanent,9/3/2019
Brinderson,Anacortes,9/5/2019,61,Closure,Permanent,8/29/2019
First Transit,Seattle,10/25/2019,86,Closure,Permanent,8/22/2019
Zirkle Fruit Company,Prosser,10/17/2019,95,Layoff,Permanent,8/16/2019
Nestle,Kent,10/18/2019,67,Closure,Permanent,8/16/2019
Conifer,Tacoma,11/15/2019,169,Closure,Permanent,8/14/2019
Seneca Foods Corporation,Yakima,10/5/2019,300,Closure,Permanent,8/6/2019
United Natural Foods/SUPERVALU,Tacoma,9/28/2019,280,Closure,Permanent,8/2/2019
AECOM,Pacific Beach and Whidbey Island,9/30/2019,10,Layoff,Permanent,7/31/2019
HMS Host,SeaTac,9/30/2019,21,Closure,Permanent,7/30/2019
Futurewei,Bellevue,9/23/2019,41,Closure,Permanent,7/23/2019
Salvation Army,Seattle,9/27/2019,58,Closure,Permanent,7/23/2019
Sky Chefs,Seattle,9/15/2019,49,Closure,Permanent,7/16/2019
"REC Silicon, Inc.",Moses Lake,7/15/2019,100,Closure,Temporary,7/16/2019
United Natural Foods/SUPERVALU,Auburn,9/8/2019,116,Closure,Permanent,7/15/2019
Community Psychiatric Clinic,Seattle,8/31/2019,26,Closure,Permanent,7/3/2019
Keiro Northwest,Seattle,10/1/2019,259,Closure,Permanent,6/28/2019
Capital One,Seattle,9/1/2019,146,Closure,Permanent,6/26/2019
Whole Foods Market,Vancouver,8/18/2019,121,Closure,Permanent,6/21/2019
Kindred Hospital,Seattle,8/9/2019,166,Closure,Permanent,6/13/2019
Nordstrom,Seattle,8/9/2019,167,Closure,Permanent,6/10/2019
Ostrom's Mushroom Farms,Olympia,8/5/2019,239,Closure,Permanent,6/3/2019
Teck,Metaline Falls,7/31/2019,210,Layoff,Temporary,5/30/2019
Macy's,Seattle,7/23/2019,134,Closure,Permanent,5/28/2019
"Security Industry Specialists, Inc.",Seattle,7/26/2019,1066,Layoff,Permanent,5/28/2019
idX West,Puyallup,6/14/2019,61,Closure,Permanent,4/16/2019
McKesson,Everett,6/7/2019,67,Closure,Permanent,4/3/2019
Web.com,Spokane,6/1/2019,64,Layoff,Permanent,3/29/2019
Walmart,"Vancouver, Washington",4/19/2019,80,Closure,Permanent,3/25/2019
"ABM Aviation, Inc.",SeaTac,5/13/2019,176,Layoff,Permanent,3/8/2019
Brooks,Sumner,5/3/2019,67,Closure,Permanent,3/5/2019
JCPenney,Seattle,5/3/2019,113,Closure,Permanent,3/1/2019
Lowes,KIRKLAND,4/27/2019,175,Closure,Permanent,2/27/2019
ArenaNet,Bellevue,3/1/2019,143,Layoff,Permanent,2/25/2019
"Legacy Fruit Packers, LLC",Wapato,2/6/2019,199,Closure,Permanent,2/6/2019
"Larson Orchard Management, Inc.",Selah,2/6/2019,807,Closure,Permanent,2/6/2019
"Valley Fruit III, LLC",Wapato,2/6/2019,1009,Closure,Permanent,2/6/2019
HMS Host,SeaTac,3/31/2019,202,Layoff,Permanent,2/1/2019
JELD WEN,Yakima,4/5/2019,179,Closure,Permanent,2/1/2019
Skagit Bank,Burlington,3/1/2019,60,Closure,Permanent,1/22/2019
Julep Beauty,"Seattle, Bellevue",12/19/2018,102,Closure,Permanent,12/21/2018
Employee Transportation Services,Everett and Renton,2/28/2019,75,Layoff,Permanent,12/18/2018
Thomson Reuters,Bellevue,2/8/2019,58,Closure,Permanent,12/6/2018
Providence,Lacey,2/25/2019,26,Closure,Permanent,12/3/2018
Tacoma News Tribune,Tacoma,2/3/2019,67,Layoff,Permanent,11/29/2018
QualChoice Health Plan Services,Federal Way,12/31/2018,164,Closure,Permanent,10/31/2018
ZymoGenetics,Seattle,12/31/2018,63,Closure,Permanent,10/31/2018
"Twin City Foods, Inc.",Stanwood,12/1/2018,65,Closure,Permanent,10/4/2018
Vertafore,Bothell,12/31/2018,53,Closure,Permanent,9/21/2018
State Farm,Tacoma,10/31/2018,269,Closure,Permanent,9/5/2018
Arvato,Yakima,9/28/2018,168,Closure,Permanent,7/12/2018
Conduent,Federal Way,7/31/2018,304,Closure,Permanent,6/1/2018
Wargaming (Seattle) Inc.,Redmond,7/22/2018,155,Closure,Permanent,5/24/2018
Menzies Aviation,SeaTac,7/8/2018,63,Layoff,Permanent,5/11/2018
Sears,Redmond,7/8/2018,68,Closure,Permanent,4/25/2018
Jorgensen Forge,Tukwila,6/18/2018,101,Closure,Permanent,4/20/2018
A.O. Smith,Renton,6/15/2018,57,Closure,Permanent,4/13/2018
Lionbridge,Vancouver,6/10/2018,119,Layoff,Permanent,4/6/2018
Flow International,Kent,6/30/2018,110,Closure,Permanent,3/29/2018
CHI Franciscan Health,Tacoma,5/27/2018,51,Closure,Permanent,3/20/2018
"Twin City Foods, Inc.",Stanwood,5/18/2018,92,Closure,Permanent,3/20/2018
Hitachi,Bellevue,5/1/2018,61,Closure,Permanent,3/2/2018
Pacific Seafood,Federal Way,4/30/2018,69,Closure,Permanent,2/26/2018
Marine View Beverage,Port Angeles,4/27/2018,5,Closure,Permanent,2/22/2018
Marine View Beverage,Poulsbo,4/27/2018,70,Closure,Permanent,2/22/2018
Marine View Beverage,Sumner,4/27/2018,138,Closure,Permanent,2/22/2018
Marine View Beverage,Sumner,4/27/2018,9,Closure,Permanent,2/22/2018
Marine View Beverage,Tumwater,4/27/2018,56,Closure,Permanent,2/22/2018
Cenveo Corporation,Kent,2/21/2018,62,Layoff,Permanent,2/21/2018
ASM Research,Lakewood,3/27/2018,7,Layoff,Permanent,2/1/2018
Georgia Pacific Corporation,Camas,5/1/2018,243,Closure,Permanent,1/30/2018
Sam's Club,Auburn,3/16/2018,168,Closure,Permanent,1/11/2018
Sam's Club,Renton,3/16/2018,179,Closure,Permanent,1/11/2018
Sam's Club,Seattle,3/16/2018,148,Closure,Permanent,1/11/2018
Northrop Grumman,Lakewood,1/12/2018,43,Closure,Permanent,11/14/2017
"ABM Aviation, Inc.",SeaTac,1/1/2018,171,Closure,Permanent,11/9/2017
Zenith Education Group,Everett,1/8/2018,29,Layoff,Permanent,11/7/2017
Zenith Education Group,Tacoma,1/8/2018,45,Layoff,Permanent,11/7/2017
Boeing,Puget Sound Area,1/1/2018,2,Layoff,Permanent,11/2/2017
The Hacker Group,Seattle,12/31/2017,17,Layoff,Permanent,11/1/2017
The Hacker Group,Seattle,12/4/2017,65,Layoff,Permanent,10/31/2017
"Northwest Trustee Services, Inc.",Bellevue,12/12/2017,25,Layoff,Permanent,10/13/2017
"Foreclosure Expeditors Initiators, LLC",Bellevue,12/12/2017,4,Layoff,Permanent,10/13/2017
"RCO Legal, PS",Bellevue,12/12/2017,12,Layoff,Permanent,10/13/2017
"Realty in Motion, LLC",Bellevue,12/12/2017,27,Layoff,Permanent,10/13/2017
Providence Medical Center,Everett,12/8/2017,62,Layoff,Permanent,10/10/2017
"Associated Materials, Inc.",Bothell,11/27/2017,87,Closure,Permanent,9/26/2017
Boeing,Puget Sound Area,11/17/2017,18,Layoff,Permanent,9/18/2017
Boeing,Puget Sound Area,10/20/2017,74,Layoff,Permanent,8/24/2017
Wells Fargo Home Mortgage Servicing,Vancouver,10/9/2017,72,Closure,Permanent,8/10/2017
Boeing,Puget Sound,9/22/2017,220,Layoff,Permanent,7/27/2017
APM Terminals,Tacoma,9/22/2017,12,Closure,Permanent,7/25/2017
Le Eco,Bellevue,9/18/2017,25,Closure,Permanent,7/24/2017
Vertafore,"Bothell, WA",10/1/2017,121,Layoff,Permanent,7/17/2017
"KIK Tacoma, Inc.","Tacoma, WA",8/11/2017,20,Closure,Permanent,7/12/2017
Boeing,Puget Sound Area,8/25/2017,89,Layoff,Permanent,6/30/2017
K-Mart,Tacoma,9/10/2017,67,Closure,Permanent,6/29/2017
Adventist Health,Walla Walla,8/24/2017,371,Closure,Permanent,6/21/2017
Space Needle,Seattle,9/5/2017,153,Closure,Permanent,6/15/2017
Boeing,Puget Sound Area,7/21/2017,337,Layoff,Permanent,5/23/2017
Electronic Arts Inc,"Seattle, WA",7/3/2017,45,Layoff,Permanent,5/8/2017
Boeing,Puget Sound Area,6/23/2017,580,Layoff,Permanent,5/8/2017
Spectrum Glass Company,Woodinville,6/30/2017,14,Closure,Permanent,5/1/2017
Railex,"Burbank, WA",6/30/2017,88,Layoff,Permanent,4/12/2017
Caradigm LLC,"Bellevue, WA",6/14/2017,39,Layoff,Permanent,4/12/2017
Ostrom's Mushroom Farms,Everson,6/1/2017,65,Layoff,Permanent,3/30/2017
Boeing,Puget Sound Area,5/19/2017,245,Layoff,Permanent,3/23/2017
"Nippon Paper Indsutries USA, Co. Ltd.",Port Angeles,3/6/2017,151,Layoff,Permanent,3/6/2017
Menzies Aviation,SeaTac,5/1/2017,949,Layoff,Permanent,3/3/2017
Harman (Harman International Industries),"Cheney, WA",5/4/2017,86,Closure,Permanent,3/2/2017
PeaceHealth,Various locations in Washington,4/30/2017,142,Layoff,Permanent,2/16/2017
Crown Resources Corporation/Echo Bay Minerals Company (KRB),Ferry and Okanogan Counties,4/10/2017,95,Closure,Permanent,2/10/2017
Hearth and Home Technologies,Colville,5/18/2017,90,Closure,Permanent,2/9/2017
BAE Systems,"Keyport, WA",3/31/2017,59,Layoff,Permanent,1/31/2017
Glu Mobile Washington Inc.,"Bellevue, WA",3/11/2017,58,Layoff,Permanent,1/10/2017
Macy's,Everett,3/6/2017,135,Closure,Permanent,1/5/2017
Voicebox Technologies Corporation,Bellevue,1/5/2017,115,Layoff,Permanent,1/5/2017
Spectrum Health Systems Inc,Nineteen locations across Washington State,12/31/2016,79,Closure,Permanent,1/3/2017
Seattle Sportservice Inc,Seattle,2/14/2017,761,Closure,Permanent,12/16/2016
Omak Wood Products,Omak,1/29/2017,217,Closure,Permanent,12/8/2016
Garco,Airway Heights,1/14/2017,112,Closure,Permanent,11/15/2016
Intel Corporation,DuPont,12/31/2016,77,Closure,Permanent,11/15/2016
"Ocean Beauty Seafoods, Inc",Seattle,12/30/2016,69,Closure,Permanent,10/31/2016
Hearthstone Cottages,Ellensburg,11/30/2016,48,Closure,Permanent,10/31/2016
Hearthstone Cottages,East Wenatchee,11/30/2016,36,Closure,Permanent,10/31/2016
Colonial Vista Retirement Centers,Wenatchee,11/30/2016,70,Closure,Permanent,10/31/2016
Colonial Vista Retirement Centers,Wenatchee,11/30/2016,149,Closure,Permanent,10/31/2016
"Healthy Options, LLC",Wenatchee,1/1/2017,66,Closure,Permanent,10/28/2016
"Healthways SC, LLC",Bellevue,12/31/2016,68,Closure,Permanent,10/18/2016
Boeing,Puget Sound,12/16/2016,56,Layoff,Permanent,10/18/2016
Jorgensen Forge,Tukwila,10/31/2016,111,Closure,Permanent,10/14/2016
"Hollander Investments, Inc.",Everett,12/5/2016,84,Layoff,Temporary,10/12/2016
"Capital One Investing, LLC",Seattle,10/1/2016,239,Layoff,Permanent,10/3/2016
Spectrum Glass Company,Woodinville,11/14/2016,7,Closure,Permanent,9/26/2016
L'Oreal USA,Redmond & Kent,11/21/2016,120,Layoff,Permanent,9/20/2016
Disney Social Games,Bellevue,12/20/2016,61,Closure,Permanent,9/14/2016
W.G. Cells,Bellevue,10/22/2016,64,Closure,Permanent,8/24/2016
Boeing,Puget Sound,10/21/2016,116,Layoff,Permanent,8/24/2016
Spectrum Glass Company,Woodinville,9/14/2016,6,Closure,Permanent,7/18/2016
Trading Company Stores,Cheney,9/10/2016,53,Closure,Permanent,7/13/2016
Trading Company Stores,Spokane Valley,9/10/2016,76,Closure,Permanent,7/13/2016
Trading Company Stores,Spokane,9/10/2016,83,Closure,Permanent,7/13/2016
Triumph Structures-Everett,Everett,9/30/2016,99,Closure,Permanent,7/11/2016
DCS Facility Services,Statewide,8/31/2016,220,Closure,Permanent,7/1/2016
Minerallac,Seattle,9/1/2016,9,Closure,Permanent,6/23/2016
Boeing,Puget Sound,8/19/2016,99,Layoff,Permanent,6/22/2016
Boeing,Puget Sound,7/22/2016,211,Layoff,Permanent,6/1/2016
Forever 21 Retail,Tacoma,6/22/2016,70,Closure,Permanent,5/25/2016
Olympic Panel Products,Shelton,7/22/2016,217,Closure,Permanent,5/23/2016
Broadspectrum,Anacortes,6/9/2016,57,Closure,Permanent,5/20/2016
Summit Management Company,Winlock,7/14/2016,3,Layoff,Permanent,5/18/2016
Spectrum Glass Company,Woodinville,7/14/2016,124,Closure,Permanent,5/18/2016
