Date Notice Posted,Company,Closure Type,City,County,Number Affected
15 December 2014,Comprehensive Logistics,Layoff,Lansing,Eaton,58
15 December 2014,Southwest Regional Rehabilitation Center,Layoff,Battle Creek,Calhoun,Unknown
04 December 2014,MagnumCare of Albion,Layoff,Albion,Calhoun,70
20 November 2014,American Laser Skincare,Layoff,Farmington Hills,Oakland,94
05 November 2014,Starr Commonwealth,Layoff,Albion,Calhoun,188
03 November 2014,Adoba Hotel,Layoff,"Dearborn, County: Wayne",Wayne County,234
20 October 2014,"Automotive Components Holdings, LLC",Layoff,Plymouth,Wayne,257
20 October 2014,"Automotive Components Holdings, LLC",Layoff,Plymouth,Wayne,257
17 October 2014,Woodbridge Group,Layoff,Lansing,Ingham,80
01 October 2014,Detroit Medical Center,Layoff,Detroit,Wayne,565
25 September 2014,Kmart Madison Heights,Closure,Madison Heights,Oakland,179
23 September 2014,Bridgewater Interiors,Layoff,Detroit,Wayne,249
19 September 2014,IPH (Institute for Population Health),Closure,Detroit,Wayne,135
18 September 2014,Staples,Closure,Southfield,Oakland,67
17 September 2014,Sodexo,Closure,Benton Harbor,Berrien,20
07 August 2014,United Airlines,Layoff,Detroit,Wayne,109
23 July 2014,"Concessions Michigan, LLC",Layoff,"Detroit, MI",Wayne,83
10 July 2014,Kmart #4995,Layoff,Detroit,Wayne,155
10 July 2014,Kmart #9814,Layoff,Detroit,Wayne,115
08 July 2014,Penske,Layoff,Riverview,Wayne ,183
02 July 2014,Scherer and Tier,Layoff,Saline,Washtenaw,Undisclosed
19 June 2014,Old National BanCorp,Layoff,Tecumseh and Adrian,Lenawee,64
17 June 2014,Sodexo,Layoff,Birmingham,Oakland,Undisclosed
12 June 2014,HMS Host,Layoff,Detroit,Wayne,135
04 June 2014,SMART (Suburban Mobility Authority for Regional Transportation),Layoff,"Clinton Township, Troy, Royal Oak, Detroit, Inkster","Macomb, Oakland, Wayne",765
19 May 2014,Community Development Institute Head Start (Serving Northwest Detroit),Layoff,Detroit,Wayne,128
19 May 2014,Community Development Institute Head Start (Serving Northwest Detroit),Layoff,Detroit,Wayne,159
08 May 2014,CSC Global,Layoff,Auburn Hills,Oakland,56
06 May 2014,"Sodexo, Inc.",Closure,Detroit,Wayne,418
01 May 2014,"Caraco Pharmaceutical Laboratories, Inc.",Closure,Detroit,Wayne,178
01 May 2014,Inalfa Roof Systems,Closure,Lake Orion,Oakland,14
29 April 2014,Gannett Publishing Services,Closure,Lansing,Ingham,103
22 April 2014,"Sodexo, Inc.",Closure,West Bloomfield,Oakland,78
21 April 2014,Inalfa Roof Systems,Closure,Grand Blanc,Genesee,53
11 April 2014,St. James Leasing Inc.,Closure,Romulus,Wayne,Undisclosed
11 April 2014,Lifestyle Lift,Closure,Troy,Oakland,118
11 April 2014,"Pro Logistics, Inc.",Closure,Romulus,Wayne,Undisclosed
11 April 2014,"The Harvard Group, L.L.C.",Closure,Livonia,Wayne,55
08 April 2014,Enovate,Closure,Canton,Wayne,145
31 March 2014,Barnes Group Inc.'s Associated Spring,Closure,Saline,Washtenaw,48
11 March 2014,Lakeland HealthCare,Closure,Berrien Center,Berrien,190
10 March 2014,"Logistics Services, Inc.",Closure,Warren,Macomb,250
05 March 2014,"Consolidated Transport Systems, Inc.",Closure,St. Louis,Gratiot,8
05 March 2014,"Consolidated Transport Systems, Inc. and Tandem Eastern, Inc.",Closure,Gaylord,Otsego,20
12 February 2014,DAL Global Services,Layoff,Detroit,Wayne,741
06 February 2014,Charles River,Closure,Portage,Kalamazoo,84
30 January  2014,"syncreon US, Inc.",Closure,Sterling Heights,Macomb,94
28 January  2014,"ConAgra Foods, Inc.",Closure,Grand Rapids,Kent,261
17 January  2014,Teleperformance USA,Closure,Ann Arbor,Washtenaw,430
13 January  2014,"Technicolor Videocassette of Michigan, Inc.",Layoff,Livonia and Romulus,Wayne,200
10 November 2015,"Automotive Components Carrier, Inc.",Layoff,"Flint, Lansing, Saginaw, (and Fort Wayne, IN)","Genesee, Ingham, Saginaw, (and Allen)",300
02 November 2015,"Morley Companies, Inc.",Closure,Saginaw,Saginaw,143
28 October 2015,"FTE Automotive USA, Inc.",Closure,Auburn Hills,Oakland;,65
27 October 2015,Astadia,Layoff,Center Line,Macomb,100
23 October 2015,GM - Lake Orion Operations,Layoff,Lake Orion,Oakland;,119
23 October 2015,GM - Lake Orion Assembly Plant,Layoff,Lake Orion,Oakland;,538
19 October 2015,Parker Hannifin Corp.,Layoff,Oxford,Oakland,65
01 October 2015,Aramark,Layoff,Auburn Hills,Oakland,129
28 September 2015,Su-Dan,Closure,Orion,Oakland,131
22 September 2015,"LEON Interiors, Inc.",Layoff,Wyoming,Kent,123
11 September 2015,Powerlink,Layoff,Detroit,Wayne,244
04 September 2015,Stant Corp,Closure,Romeo,Macomb,167
31 August 2015,Total Linen Service,Closure,Detroit,Wayne,95
19 August 2015,Sodexo Magic,Closure,Saginaw,Saginaw,70
04 August 2015,Presbyterian Villages of Michigan,Closure,Redford,Wayne,156
29 July 2015,DE-STA-CO,Closure,Auburn Hills,Oakland,57
07 July 2015,Visteon - Holland,Closure,Holland,Ottawa,151
03 June 2015,Klein Plastics,Closure,Rockford,Kent,74
19 May 2015,HealthPlus,Layoff,Flint & Saginaw,Genesee & Saginaw,500
11 May 2015,Dixie Consumer Products LLC,Closure,Parchment,Kalamazoo,Unknown
06 May 2015,Bortz Health Care Ypsilanti,Layoff,Ypsilanti,Washtenaw,148
06 May 2015,Bortz Health Care - Detroit,Layoff,Detroit,Wayne,117
06 May 2015,Bortz Health Care - Traverse City,Layoff,Traverse City,Grand Traverse,103
04 May 2015,Flint Hills Resources,Layoff,Marysville,St. Clair,64
04 May 2015,Hiller Incorporation,Layoff,"Commerce Township, Plymouth, Northville, Southfield, Ann Arbor, Bloomfield Hills, Detroit, New York, Washington D.C.",Oakland,846
30 April 2015,Cliffs Natural Resources,Layoff,Negaunee & Ishpeming,Marquette,350
30 April 2015,Ford Michigan Assembly Plant,Layoff,Wayne,Wayne,700
03 April 2015,"Compass Airlines, LLC",Layoff,Detroit,Wayne,112
03 April 2015,Grant Associates,Layoff,Detroit,Wayne,72
19 March 2015,"Reliance One, Inc.",Layoff,Auburn Hills,Oakland,225
18 March 2015,FutureMark Manistique,Closure,Manistique,Schoolcraft,147
